DB#,Section,Lesson#,MsgID,GregDate,HijriDate,AudioFilename,Duration
81,كتاب الصلاة,19,4556,13.08.2024,1446/02/09,AUD-20240813-WA0000.m4a,6:33
82,كتاب الصلاة,20,4558,15.08.2024,1446/02/11,AUD-20240815-WA0000.m4a,6:54
83,كتاب الصلاة,21,4560,15.08.2024,1446/02/11,AUD-20240815-WA0001.m4a,8:22
84,كتاب الصلاة,22,4596,26.08.2024,1446/02/22,AUD-20240826-WA0003.m4a,4:23
85,كتاب الصلاة,23,4614,03.09.2024,1446/02/30,AUD-20240903-WA0000.m4a,5:58
86,كتاب الصلاة,24,4621,05.09.2024,1446/03/02,AUD-20240904-WA0007.m4a,9:58
87,كتاب الصلاة,25,4623,05.09.2024,1446/03/02,AUD-20240905-WA0001.m4a,5:42
88,كتاب الصلاة,26,4657,17.09.2024,1446/03/14,AUD-20240917-WA0000.m4a,4:19
89,كتاب الصلاة,27,4663,19.09.2024,1446/03/16,AUD-20240918-WA0000.m4a,8:43
90,كتاب الصلاة,28,4669,20.09.2024,1446/03/17,AUD-20240920-WA0002.m4a,10:12
91,كتاب الصلاة,29,4682,24.09.2024,1446/03/21,AUD-20240924-WA0002.m4a,7:16
92,كتاب الصلاة,30,4712,11.10.2024,1446/04/08,AUD-20241011-WA0002.m4a,9:13
93,كتاب الصلاة,31,4716,11.10.2024,1446/04/08,AUD-20241011-WA0004.m4a,10:21
94,كتاب الصلاة,32,4720,11.10.2024,1446/04/08,AUD-20241011-WA0006.m4a,7:58
95,كتاب الصلاة,33,4727,11.10.2024,1446/04/08,AUD-20241011-WA0009.m4a,6:00
96,كتاب الصلاة,34,4731,11.10.2024,1446/04/08,AUD-20241011-WA0011.m4a,5:46
97,كتاب الصلاة,35,4761,15.10.2024,1446/04/12,AUD-20241015-WA0039.m4a,6:56
98,كتاب الصلاة,36,4775,21.10.2024,1446/04/18,AUD-20241020-WA0004.m4a,6:52
99,كتاب الصلاة,37,4793,30.10.2024,1446/04/27,AUD-20241030-WA0011.m4a,11:58
100,كتاب الصلاة,38,4821,09.11.2024,1446/05/07,AUD-20241104-WA0004.m4a,6:56
101,كتاب الصلاة,39,4832,11.11.2024,1446/05/09,AUD-20241109-WA0003.m4a,7:12
102,كتاب الصلاة,40,4834,11.11.2024,1446/05/09,AUD-20241111-WA0000.m4a,7:04
103,كتاب الصلاة,41,4857,23.11.2024,1446/05/21,AUD-20241122-WA0004.m4a,9:02
104,كتاب الصلاة,42,4863,23.11.2024,1446/05/21,AUD-20241123-WA0008.m4a,10:14
105,كتاب الصلاة,43,4883,27.11.2024,1446/05/25,AUD-20241127-WA0005.m4a,8:27
106,كتاب الصلاة,44,4885,27.11.2024,1446/05/25,AUD-20241126-WA0014.m4a,12:55
107,كتاب الصلاة,45,4921,04.12.2024,1446/06/03,AUD-20241203-WA0000.m4a,17:37
108,كتاب الصلاة,46,4960,13.12.2024,1446/06/12,AUD-20241213-WA0008.m4a,7:55
109,كتاب الصلاة,47,4962,13.12.2024,1446/06/12,AUD-20241212-WA0041.m4a,4:59
110,كتاب الصلاة,48,4989,23.12.2024,1446/06/22,AUD-20241219-WA0001.m4a,7:28
111,كتاب الصلاة,49,4993,23.12.2024,1446/06/22,AUD-20241223-WA0023.m4a,7:44
112,كتاب الصلاة,50,5068,08.01.2025,1446/07/08,AUD-20250108-WA0034.m4a,5:50
113,كتاب الصلاة,51,5070,08.01.2025,1446/07/08,AUD-20250108-WA0033.m4a,8:18
114,كتاب الصلاة,52,5077,13.01.2025,1446/07/13,AUD-20250113-WA0000.m4a,5:43
115,كتاب الصلاة,53,5111,26.01.2025,1446/07/26,AUD-20250126-WA0005.m4a,6:10
116,كتاب الصلاة,54,5120,29.01.2025,1446/07/29,AUD-20250129-WA0002.m4a,7:24
117,كتاب الصلاة,55,5132,03.02.2025,1446/08/04,AUD-20250202-WA0001.m4a,4:57
118,كتاب الصلاة,56,5139,08.02.2025,1446/08/09,AUD-20250206-WA0000.m4a,6:37
119,كتاب الصلاة,57,5164,18.02.2025,1446/08/19,AUD-20250218-WA0000.m4a,8:19
120,كتاب الصلاة,58,5168,18.02.2025,1446/08/19,AUD-20250218-WA0002.m4a,4:36
121,كتاب الصلاة,59,5345,21.04.2025,1446/10/23,AUD-20250421-WA0001.m4a,5:44
122,كتاب الصلاة,60,5350,24.04.2025,1446/10/26,AUD-20250424-WA0000.m4a,4:57
123,كتاب الصلاة,61,5366,30.04.2025,1446/11/02,AUD-20250430-WA0008.m4a,5:58
124,كتاب الصلاة,62,5373,05.05.2025,1446/11/07,AUD-20250504-WA0001.m4a,3:19
125,كتاب الصلاة,63,5464,08.06.2025,1446/12/12,AUD-20250608-WA0005.m4a,9:24
126,كتاب الصلاة,64,5482,17.06.2025,1446/12/21,AUD-20250617-WA0003.m4a,8:49
127,كتاب الصلاة,65,5484,17.06.2025,1446/12/21,AUD-20250617-WA0001.m4a,6:37
128,كتاب الصلاة,66,5486,17.06.2025,1446/12/21,AUD-20250617-WA0002.m4a,11:35
129,كتاب الصلاة,67,5499,22.06.2025,1446/12/26,AUD-20250622-WA0003.m4a,12:05
130,كتاب الصلاة,68,5511,30.06.2025,1447/01/05,AUD-20250630-WA0007.m4a,7:52
131,كتاب الحج,1,4410,20.05.2024,1445/11/12,AUD-20240520-WA0007.m4a,7:01
132,كتاب الحج,2,4422,22.05.2024,1445/11/14,AUD-20240522-WA0002.m4a,9:49
133,كتاب الحج,3,4427,24.05.2024,1445/11/16,AUD-20240524-WA0005.m4a,6:12
134,كتاب الحج,4,4432,29.05.2024,1445/11/21,AUD-20240529-WA0000.m4a,4:48
135,كتاب الحج,5,4437,01.06.2024,1445/11/24,AUD-20240601-WA0003.m4a,9:12
136,كتاب الحج,6,4440,03.06.2024,1445/11/26,AUD-20240603-WA0000.m4a,4:54
137,كتاب الحج,7,4469,14.06.2024,1445/12/08,AUD-20240613-WA0002.m4a,10:21
138,كتاب الحج,8,5397,12.05.2025,1446/11/14,AUD-20250511-WA0000.m4a,7:00
139,كتاب الحج,9,5400,13.05.2025,1446/11/15,AUD-20250513-WA0002.m4a,5:42
140,كتاب الحج,10,5428,26.05.2025,1446/11/28,AUD-20250525-WA0006.m4a,9:05
141,كتاب الحج,11,5434,28.05.2025,1446/12/01,AUD-20250527-WA0004.m4a,12:11
142,كتاب الحج,12,5443,02.06.2025,1446/12/06,AUD-20250602-WA0011.m4a,5:45
143,كتاب الحج,13,5450,03.06.2025,1446/12/07,AUD-20250603-WA0000.m4a,5:17
144,كتاب الزكاة,1,5521,02.07.2025,1447/01/07,AUD-20250701-WA0000.m4a,10:40
145,كتاب الزكاة,2,5584,15.07.2025,1447/01/20,AUD-20250715-WA0003.m4a,11:13
146,كتاب الزكاة,3,5586,15.07.2025,1447/01/20,AUD-20250715-WA0002.m4a,9:31
147,كتاب الزكاة,4,5599,18.07.2025,1447/01/23,AUD-20250718-WA0004.m4a,6:51
148,كتاب الزكاة,5,5605,18.07.2025,1447/01/23,AUD-20250718-WA0007.m4a,6:59
149,كتاب الزكاة,6,5629,06.08.2025,1447/02/12,AUD-20250806-WA0002.m4a,6:18
150,كتاب الزكاة,7,5637,09.08.2025,1447/02/15,AUD-20250808-WA0000.m4a,7:45
151,كتاب الزكاة,8,5643,13.08.2025,1447/02/19,AUD-20250813-WA0000.m4a,7:08
