DB#,LessonNumInText,MsgID,GregDate,HijriDate,AudioFilename,Duration,ChapterNote
48,66,2973,10.02.2023,1444/07/19,AUD-20230209-WA0007.m4a,45:15,
49,67,2999,17.02.2023,1444/07/26,AUD-20230215-WA0011.m4a,28:29,
50,68,3027,23.02.2023,1444/08/03,AUD-20230222-WA0009.m4a,8:32,
51,69,3244,04.05.2023,1444/10/14,AUD-20230504-WA0005.m4a,16:37,
52,70,3260,11.05.2023,1444/10/21,AUD-20230510-WA0008.m4a,20:46,
53,71,3310,21.05.2023,1444/11/01,AUD-20230520-WA0011.m4a,43:02,
54,72,3326,25.05.2023,1444/11/05,AUD-20230524-WA0018.m4a,30:39,
55,73,3373,08.06.2023,1444/11/19,AUD-20230608-WA0003.m4a,29:03,
56,74,3583,24.08.2023,1445/02/08,AUD-20230816-WA0012.m4a,28:50,
57,75,3585,24.08.2023,1445/02/08,AUD-20230823-WA0010.m4a,24:54,
58,76,3616,30.08.2023,1445/02/14,AUD-20230830-WA0002.m4a,22:38,
59,77,3644,07.09.2023,1445/02/22,AUD-20230907-WA0001.m4a,30:39,
60,78,3671,15.09.2023,1445/02/30,AUD-20230915-WA0002.m4a,21:08,
61,79,3722,29.09.2023,1445/03/14,AUD-20230929-WA0000.m4a,12:23,
62,80,3774,14.10.2023,1445/03/29,AUD-20231014-WA0004.m4a,12:14,
63,81,3844,01.12.2023,1445/05/17,تأسيس_الأحكام_الدرس_رقم_81_باب_الربا_والصرف.m4a,32:26,باب الربا والصرف
64,82,3845,01.12.2023,1445/05/17,تأسيس_الأحكام_الدرس_رقم_82_باب_الرهن_وغيره.m4a,35:16,باب الرهن وغيره
65,83,3865,06.12.2023,1445/05/22,تأسيس_الاحكام_كتاب_الجنائز_الدرس_رقم_٨٣.m4a,19:38,كتاب الجنائز
66,84,3891,21.12.2023,1445/06/08,AUD-20231221-WA0000.m4a,25:45,كتاب الجنائز
67,85,3925,28.12.2023,1445/06/15,AUD-20231228-WA0000.m4a,26:20,كتاب الجنائز
68,86,3955,04.01.2024,1445/06/22,AUD-20240103-WA0008.m4a,44:45,كتاب الجنائز
69,87,3999,18.01.2024,1445/07/06,AUD-20240118-WA0001.m4a,27:15,كتاب الزكاة (١)
70,88,4098,01.02.2024,1445/07/20,تأسيس الأحكام.m4a,41:15,كتاب الزكاة (٢)
71,89,4159,15.02.2024,1445/08/05,AUD-20240215-WA0005.mp3,22:52,كتاب الزكاة (٣)
72,90,4184,23.02.2024,1445/08/13,AUD-20240222-WA0004.m4a,39:20,كتاب الزكاة (٤)
73,91,4215,29.02.2024,1445/08/19,AUD-20240228-WA0000-[AudioTrimmer.com].m4a,33:07,كتاب الزكاة (٥)
74,1,4370,06.05.2024,1445/10/27,AUD-20240505-WA0006.m4a,24:24,كتاب الحج
75,2,4412,20.05.2024,1445/11/12,AUD-20240520-WA0008.m4a,33:47,كتاب الحج
76,3,4418,22.05.2024,1445/11/14,AUD-20240522-WA0000.m4a,26:35,كتاب الحج
77,4,4420,22.05.2024,1445/11/14,AUD-20240522-WA0001.m4a,18:39,كتاب الحج
78,5,4442,03.06.2024,1445/11/26,AUD-20240603-WA0001.m4a,21:47,كتاب الحج
79,6,4453,10.06.2024,1445/12/04,AUD-20240603-WA0002.m4a,25:41,كتاب الحج
80,7,4455,10.06.2024,1445/12/04,AUD-20240610-WA0001.m4a,17:38,كتاب الحج
81,8,4459,12.06.2024,1445/12/06,AUD-20240611-WA0005.m4a,16:45,كتاب الحج
82,9,4465,13.06.2024,1445/12/07,AUD-20240613-WA0000.m4a,15:14,كتاب الحج
83,10,4471,14.06.2024,1445/12/08,AUD-20240614-WA0001.m4a,08:39,كتاب الحج
84,11,4484,18.06.2024,1445/12/12,AUD-20240618-WA0023.m4a,31:46,كتاب الحج
85,12,4486,18.06.2024,1445/12/12,AUD-20240618-WA0022.m4a,26:45,كتاب الحج
86,13,4488,18.06.2024,1445/12/12,AUD-20240618-WA0021.m4a,17:07,كتاب الحج
87,14,4492,20.06.2024,1445/12/14,AUD-20240620-WA0000.m4a,24:09,كتاب الحج
88,1,4606,29.08.2024,1446/02/25,AUD-20240829-WA0002.m4a,20:12,كتاب البيوع
89,2,4625,05.09.2024,1446/03/02,AUD-20240904-WA0011.m4a,15:53,كتاب البيوع
90,3,4667,19.09.2024,1446/03/16,AUD-20240918-WA0002.m4a,15:05,كتاب البيوع
91,4,4685,26.09.2024,1446/03/23,AUD-20240926-WA0008.m4a,29:03,كتاب البيوع
92,5,4766,18.10.2024,1446/04/15,AUD-20241018-WA0002.m4a,25:32,كتاب البيوع
93,6,4790,30.10.2024,1446/04/27,AUD-20241030-WA0003.m4a,23:32,كتاب البيوع
94,7,4806,31.10.2024,1446/04/28,AUD-20241031-WA0022.m4a,21:17,كتاب البيوع
95,8,4829,09.11.2024,1446/05/07,AUD-20241109-WA0002.m4a,31:44,كتاب البيوع
96,9,4867,23.11.2024,1446/05/21,AUD-20241123-WA0010.m4a,23:47,كتاب البيوع
97,1,4987,23.12.2024,1446/06/22,AUD-20241218-WA0004.m4a,17:13,كتاب البيوع
98,1,5014,26.12.2024,1446/06/25,AUD-20241225-WA0012.m4a,22:21,كتاب البيوع
99,2,5125,01.02.2025,1446/08/02,AUD-20250201-WA0002.m4a,23:34,كتاب البيوع
100,3,5141,08.02.2025,1446/08/09,AUD-20250208-WA0005.m4a,13:50,كتاب البيوع
101,4,5162,18.02.2025,1446/08/19,AUD-20250217-WA0030.m4a,25:46,كتاب البيوع
102,1,5603,18.07.2025,1447/01/23,AUD-20250718-WA0006.m4a,34:49,باب الفرائض
103,92,5700,07.10.2025,1447/04/15,4_5992475423785622177 (1).mp3,13:34,كتاب النكاح (١) 🔸 للعلامة: أحمد بن يحيى النجمي -رحمه الله- 🔹
104,93,5707,09.10.2025,1447/04/17,4_5996911497937164392.mp3,17:24,كتاب النكاح (٢) 🔸 للعلامة: أحمد بن يحيى النجمي -رحمه الله- 🔹
105,94,5720,10.10.2025,1447/04/18,Mp3 Editor_251010210205.mp3,24:59,كتاب النكاح (٣) 🔸 للعلامة: أحمد بن يحيى النجمي -رحمه الله- 🔹
106,95,5743,16.10.2025,1447/04/24,Mp3 Editor_251015221637.mp3,19:26,كتاب النكاح (٤) 🔸 للعلامة: أحمد بن يحيى النجمي -رحمه الله- 🔹
107,96,5753,17.10.2025,1447/04/25,AUD-20251012-WA0033.m4a,16:15,كتاب النكاح (٥) 🔸 للعلامة: أحمد بن يحيى النجمي -رحمه الله- 🔹
108,97,5764,17.10.2025,1447/04/25,AUD-20251015-WA0055.m4a,22:15,كتاب النكاح (٦) 🔸 للعلامة: أحمد بن يحيى النجمي -رحمه الله- 🔹
109,33,5797,23.10.2025,1447/05/01,التعليق_على_كتاب_﴿تأسيس_الأحكام_على_ما_صح_من_خير_الأنام_بشرح_عمدة.mp3,,
110,7,5816,26.10.2025,1447/05/04,AUD-20251022-WA0024.m4a,20:30,كتاب النكاح
111,8,5973,09.12.2025,1447/06/18,AUD-20251208-WA0011.m4a,25:14,كتاب الطلاق
112,,6059,22.12.2025,1447/07/02,AUDIO-2025-12-22-07-20-24.m4a,29:17,كتاب اللعان
113,2,6100,26.12.2025,1447/07/06,AUDIO-2025-12-25-21-15-03.m4a,21:52,كتاب اللعان
114,3,6133,01.01.2026,1447/07/11,AUDIO-2025-12-31-23-27-32.m4a,21:04,كتاب اللعان
115,,6248,22.01.2026,1447/08/03,AUDIO-2026-01-21-21-52-57.m4a,21:41,كتاب الرضاع
116,2,6313,29.01.2026,1447/08/10,AUDIO-2026-01-28-21-32-25.m4a,23:06,كتاب الرضاع
117,1,6375,06.02.2026,1447/08/18,AUDIO-2026-02-04-21-21-24.m4a,15:09,كتاب القصاص
118,2,6423,12.02.2026,1447/08/24,AUDIO-2026-02-11-22-20-02.m4a,20:07,كتاب القصاص
119,3,6707,09.04.2026,1447/10/21,AUDIO-2026-04-08-21-53-49.m4a,22:26,كتاب القصاص
120,4,7139,08.05.2026,1447/11/19,AUDIO-2026-05-06-21-54-39.m4a,19:41,كتاب القصاص
121,1,7268,15.05.2026,1447/11/26,AUDIO-2026-05-14-10-23-34.m4a,14:03,كتاب الحدود
