#,Filename,Category,DateHint,FoundInHTML,MsgID,GregDate,HijriDate,Duration,PossibleSeries,LessonNum,TitleHint,TextSnippet
18,أخطاء_في_الطهارة_والصلاة_٢_١٤_٧_١٤٤٢.m4a,غير مصنف / يحتاج تحديد,,YES,1418,26/02/2021,1442/07/14,9:54,خطبة الجمعة,,,📌خطبة الجمعة 🌀 أخطاء في الطهارة والصلاة (٢) 🌀 🎧 للشيخ الفاضل / حسن بن محمد منصور الدغريري -حفظه الله ورعاه- ⏰ المدة : 9:54 د 🗓 الجمعة 14 رجب 1442هـ 🔗 رابط الصوتية: 🖇 https://e.top4top.io/m_1883fylxp1.m4a 🎥 رابط اليوتيوب: 🖇 ══ا ¤❁💎❁¤ ا══ 🔹 قناة الواتس آب : 🖇 https://chat.whatsapp.com/KXlr7A6TNu3Fnaji
19,أضرار القات ١٩-٢-١٤٤١.m4a,غير مصنف / يحتاج تحديد,,YES,478,19/10/2019,,,,,,
20,أهمية_العناية_بالتوحيد_والدعوة_إليه.m4a,غير مصنف / يحتاج تحديد,,YES,1187,10/09/2020,,2:08,,,فوائد,📌 #فوائد 🏮 #مقاطع_صوتية • أهمية العناية بالتوحيد والدعوة إليه • 🎧 للشيخ الفاضل: #حسن_بن_محمد_منصور_الدغريري حفظه الله ⏳مدة المقطع : ٢:٠٨ د⏳ 📲 رابط التحميل والاستماع : 🖇 https://f.top4top.io/m_1714iti8g1.m4a 🎥 رابط المشاهدة : 🖇 https://youtu.be/UZe_JG5UhNE 📤 رابط القناة على التلجرام👇 🖇 https://t.me/d
21,أهمية_طلب_العلم_في_زمن_الفتن_١٤٤٠،٤،٢٩.m4a,غير مصنف / يحتاج تحديد,,YES,245,06/01/2019,,,أحاديث الفتن,,متجدد,📌 #متجدد : 🎧 كلمة إفتتاحية للدورة الثالثة في العقيدة : #أهمية_طلب_العلم_في_زمن_الفتن 🎙 للشيخ الفاضل: #حسن_بن_محمد_منصور_الدغريري -حفظه الله ورعاه- بتاريخ: ٢٩ / ٤ / ١٤٤٠هـ 🔊 للاستماع والتحميل: 🖇 https://j.top4top.io/m_36636weza1.m4a 🎥 رابط المشاهدة: 🖇 https://youtu.be/K2m6WXcGuEU --------------------
22,اشراط الساعة الصغرى 1.m4a,غير مصنف / يحتاج تحديد,,NO,,,,,,1,,
23,الامر بالمعروف والنهي عن المنكر.m4a,غير مصنف / يحتاج تحديد,,NO,,,,,,,,
24,الأفنان_الندية_باب_سبحة_الضحى_الدرس_رقم_36.m4a,غير مصنف / يحتاج تحديد,,NO,,,,,,36,,
25,التحذير_من_سبل_الشيطان_من_إفراط_أو_تفريط.m4a,غير مصنف / يحتاج تحديد,,NO,,,,,,,,
26,التعليق_على_إرشاد_الساري_38_والأخير.m4a,غير مصنف / يحتاج تحديد,,YES,1139,19/08/2020,,,,,جديد الدروس,📌 #جديد_الدروس : 📕 #شرح_كتاب_شرح_السنة_للبربهاري •الدرس الثامن والثلاثون والأخير ٣٨ 🎧 للشيخ الفاضل: #حسن_بن_محمد_منصور_الدغريري حفظه الله 📲 رابط التحميل والاستماع : 🔗 https://k.top4top.io/m_1691bxbco1.m4a 📤 رابط القناة على التلجرام👇 🖇 https://t.me/daririhasan/1139 📥 رابط القناة على الواتس👇 🖇 https:/
27,التعليق_على_تأسيس_الأحكام_على_ما_صح_من_خير_الأنام_بشرح_zos88VZk4dU.m4a,غير مصنف / يحتاج تحديد,,YES,5799,23/10/2025,,,عمدة الأحكام,,جديد الدروس,#جديد_الدروس 📕 التعليق على كتاب ﴿ #تأسيس_الأحكام على ما صح من خير الأنام بشرح عمدة الأحكام﴾ 🎙 الشيخ الفاضل / #حسن_بن_محمد_منصور_الدغريري حفظه الله تعالى ووفقه 🔸الــــــــــــــــدرس (37) 🔗رابط اليوتيوب: 🔗 https://youtu.be/zos88VZk4dU 📮قناة إذاعة طلاب العلم للتسجيل الدروس 📮 https://t.me/iidhaeattulaa
28,التعليق_على_كتاب_تأسيس_الأحكام_على_ما_صح_من_خير_الأنام_بشرح_عمدة (1).m4a,غير مصنف / يحتاج تحديد,,NO,,,,,تأسيس الأحكام,,,
29,التعليق_على_كتاب_تأسيس_الأحكام_على_ما_صح_من_خير_الأنام_بشرح_عمدة (2).m4a,غير مصنف / يحتاج تحديد,,NO,,,,,تأسيس الأحكام,,,
30,التعليق_على_كتاب_تأسيس_الأحكام_على_ما_صح_من_خير_الأنام_بشرح_عمدة (3).m4a,غير مصنف / يحتاج تحديد,,NO,,,,,تأسيس الأحكام,,,
31,التعليق_على_كتاب_تأسيس_الأحكام_على_ما_صح_من_خير_الأنام_بشرح_عمدة.m4a,غير مصنف / يحتاج تحديد,,NO,,,,,تأسيس الأحكام,,,
32,التعليق_على_كتاب_﴿تأسيس_الأحكام_على_ما_صح_من_خير_الأنام_بشرح_عمدة (1).m4a,غير مصنف / يحتاج تحديد,,NO,,,,,تأسيس الأحكام,,,
33,التعليق_على_كتاب_﴿تأسيس_الأحكام_على_ما_صح_من_خير_الأنام_بشرح_عمدة (2).m4a,غير مصنف / يحتاج تحديد,,NO,,,,,تأسيس الأحكام,,,
34,التعليق_على_كتاب_﴿تأسيس_الأحكام_على_ما_صح_من_خير_الأنام_بشرح_عمدة (3).m4a,غير مصنف / يحتاج تحديد,,NO,,,,,تأسيس الأحكام,,,
35,التعليق_على_كتاب_﴿تأسيس_الأحكام_على_ما_صح_من_خير_الأنام_بشرح_عمدة.m4a,غير مصنف / يحتاج تحديد,,NO,,,,,تأسيس الأحكام,,,
36,التعليق_على_مافعله_صعافقة_برمنجهام.m4a,غير مصنف / يحتاج تحديد,,NO,,,,,,,,
37,التوحيد٢٢.m4a,غير مصنف / يحتاج تحديد,,YES,7213,12/05/2026,1447/11/23,6:02,التعليق على كتاب التوحيد,,,🔸 الملخص شرح كتاب التوحيد 🔸 للعلامة صالح الفوزان حفظه الله 🔹 الدرس الدرس الثامن والأربعين تابع باب ما جاء في الكهان ونحوهم بجامع الورود بحي الورورد بجدة ١٤٤٧/١١/٢٣ مع فضيلة الشيخ حسن بن محمد منصور الدغريري حفظه الله ورعاه 🎙 مدة الصوتية: 6:02 دقيقة --- 📌 للاستماع عبر التلجرام: ╭─═┅┅┅┅┅┅┅═─╮ https://t
38,التٙعليق_علىٰ_باب_اتباع_سنن_اليهود_والنصارى.m4a,غير مصنف / يحتاج تحديد,,NO,,,,,,,,
39,الدرس السابع عشر.m4a,غير مصنف / يحتاج تحديد,,YES,4751,14/10/2024,,,,,جديد الدروس,📌 #جديد_الدروس : 📕 قراءة وتعليق على #كتاب_الحج من #الأفنان_الندية_شرح_السبل_السوية في فقه السنن المروية للعلامة زيد بن هادي المدخلي رحمه الله 🔹الدرس السابع عشر 🎧 للشيخ الفاضل: #حسن_بن_محمد_منصور_الدغريري حفظه الله 📲 رابط التحميل والاستماع : 🔗 https://t.me/daririhasan/2308 📆 لعام ١٤٤٣هـ / تتمة لدروس 
40,الدُّخَان ٢٩ - ٢ - ١٤٤٢.m4a,غير مصنف / يحتاج تحديد,,YES,1240,16/10/2020,1442/02/29,11:45,خطبة الجمعة,,,📌خطبة الجمعة 🌀 الدُّخَان 🌀 🎙للشيخ حسن بن محمد الدغريري -غفر الله له ولوالديه- ⏰ المدة : 11:45 د 🗓 الجمعة 29 صفر 1442هـ 🔗 رابط الصوتية: 🖇 https://f.top4top.io/m_1750x4fp11.m4a 🔗 رابط اليوتيوب: 🖇 https://youtu.be/N9Qx415ykTk ══ا ¤❁💎❁¤ ا══ 🔹 قناة الشيخ حسن الدغريري على الواتس https://chat.whatsapp.com/
41,الرد الشرعي المعقول.m4a,غير مصنف / يحتاج تحديد,,YES,4095,01/02/2024,,40:09,,,الرد الشرعي المعقول على المتصل المجهول,‏‌‏‌‏‌‏🔸 [ القراءة في كتاب #الرد_الشرعي_المعقول_على_المتصل_المجهول ] 🔸 للعلامة أحمد بن يحيى النجمي -رحمه الله- 🔹 الدرس الثاني لفضيلة الشيخ حسن بن محمد منصور الدغريري حفظه الله 🎙للإستماع إلى الصوتية : https://t.me/daririhasan/4095 00:00 ـ──━━◉ 40:09 ا⇄ا ▷▷ I I ◁◁ ↻ رابط القناة على التلجرام⇙ ╭─═┅┅┅┅┅┅
42,الشيخ حسن.m4a,غير مصنف / يحتاج تحديد,,YES,2442,12/10/2022,1444/03/15,,,,جديد الدروس,🔗 📌 #جديد_الدروس : 📕 الدرس الخامس عشر : #التعليقات_الأثرية_على_العقيدة_الواسطية للعلامة أحمد بن يحيى النجمي رحمه الله 🎤 القراءة والتعليق للشيخ الفاضل: #حسن_بن_محمد_منصور_الدغريري حفظه الله 📋 الثلاثاء ١٥ ربيع الأول ١٤٤٤هـ 📲 رابط التحميل والاستماع : 🔗 https://a.top4top.io/m_24758qkm00.m4a 🖥 رابط المشا
43,العمل الصالح بعد رمضان.m4a,غير مصنف / يحتاج تحديد,,YES,976,29/05/2020,,19:56,خطبة عيد,,من الأرشيف,#من_الأرشيف 📌 خطبة عيد الفطر المبارك لعام ١٤٣٦ 🌀 العمل الصالح بعد رمضان 🌀 🎙للشيخ حسن بن محمد الدغريري -غفر الله له ولوالديه- ⏰ مدة المقطع #19:56 د 🔗 رابط الصوتية: 🔗 https://d.top4top.io/m_1609ffroq1.m4a 🔗 رابط اليوتيوب: 🔗 https://youtu.be/MGUOBbhE4Uw ══ا ¤❁💎❁¤ ا══ 🔹 قناة الشيخ حسن الدغريري على الوات
44,المورد العذب٢.m4a,غير مصنف / يحتاج تحديد,,YES,7218,12/05/2026,,52:21,المورد العذب الزلال,,,🔸 المورد العذب الزلال 🔸 للعلامة أحمد النجمي حفظه الله 🔹 الدرس الخامس عشر بجامع الورود بحي الورورد بجدة - السبت ٢٢ /١١ /١٤٤٧ مع فضيلة الشيخ حسن بن محمد منصور الدغريري حفظه الله ورعاه 🎙 مدة الصوتية: 52:21 دقيقة --- 📌 للاستماع عبر التلجرام: ╭─═┅┅┅┅┅┅┅═─╮ https://t.me/daririhasan/7218 ╰─═┅┅┅┅┅┅┅═─╯ 📌 را
45,المورد.m4a,غير مصنف / يحتاج تحديد,,YES,7344,18/05/2026,,45:22,المورد العذب الزلال,,,🔸 المورد العذب الزلال 🔸 للعلامة أحمد النجمي حفظه الله 🔹 الدرس السادس عشر بجامع الورود بحي الورورد بجدة - السبت ٢٩ /١١ /١٤٤٧ مع فضيلة الشيخ حسن بن محمد منصور الدغريري حفظه الله ورعاه 🎙 مدة الصوتية: 45:22 دقيقة --- 📌 للاستماع عبر التلجرام: ╭─═┅┅┅┅┅┅┅═─╮ https://t.me/daririhasan/7344 ╰─═┅┅┅┅┅┅┅═─╯ 📌 را
46,أسباب_صلاح_الأولاد@_١٤_١١_١٤٣٩.m4a,غير مصنف / يحتاج تحديد,,YES,212,25/10/2018,,15:35,خطبة الجمعة,,,•┈┈┈•✿❁✿•┈┈┈• 📌خطبة الجمعة 🌀 أسباب صلاح الأولاد 🌀 🎙للشيخ حسن بن محمد الدغريري -غفر الله له ولوالديه- ⏰ مدة المقطع # 15:35 د رابط الصوتية # https://a.top4top.net/m_1012g91b01.m4a 📆 ١٤ - ١١ - ١٤٣٩ ══ا ¤❁💎❁¤ ا══ 🔹 قناة الشيخ حسن الدغريري على الواتس https://chat.whatsapp.com/DUvpoPZFcBk22nVL1nIrVg ══ا ¤
47,تأسيس الأحكام.m4a,غير مصنف / يحتاج تحديد,,YES,4098,01/02/2024,,41:15,تأسيس الأحكام,,,‌‏‌‏‌‏‌‏🔸 [تأسيس الأحكام - كتاب الزكاة (٢) ] 🔸 للعلامة أحمد بن يحيى النجمي -رحمه الله- 🔹 الدرس الثامن والثمانون لفضيلة الشيخ حسن بن محمد منصور الدغريري حفظه الله 🎙للإستماع إلى الصوتية : https://t.me/daririhasan/4098 00:00 ـ──━━◉ 41:15 ا⇄ا ▷▷ I I ◁◁ ↻ رابط القناة على التلجرام⇙ ╭─═┅┅┅┅┅┅┅═─╮ https://t
48,تسجيل جديد ٦٤٥.m4a,غير مصنف / يحتاج تحديد,,YES,7062,03/05/2026,,19:19,أفنان الندية,,,🔸 الأفنان الندية - كتاب النكاح 🔸 للعلامة زيد بن هادي مدخلي رحمه الله 🔹 الدرس التاسع - كتاب النكاح(٩) - باب الصداق عن بُعد - ١٦/ ١١ / ١٤٤٧ مع فضيلة الشيخ حسن بن محمد منصور الدغريري حفظه الله ورعاه 🎙 مدة الصوتية : 19:19 دقيقة --- 📌 للاستماع عبر التلجرام: ╭─═┅┅┅┅┅┅┅═─╮ https://t.me/daririhasan/6950 ╰─═
49,تفسير سورة الاخلاص والفلق والناس.m4a,غير مصنف / يحتاج تحديد,,YES,1312,01/12/2020,,,تفسير,,جديد الدروس,📌 #جديد_الدروس : 📕 [تفسير سورة الإخلاص، وسورة الفلق، وسورة الناس] #تفسير_العلامة_ابن_سعدي رحمه الله 🎧 للشيخ الفاضل: #حسن_بن_محمد_منصور_الدغريري حفظه الله 📲 رابط التحميل والاستماع : 🔗 https://i.top4top.io/m_1796nl0z91.m4a 📤 رابط القناة على التلجرام👇 🖇 https://t.me/daririhasan/1312 📥 رابط القناة على ا
50,تفسير_سورة_الشرح_لفضيلة_الشيخ_حسن_بن_محمد_منصور_دغريري_E_mrY_C4CRM.m4a,غير مصنف / يحتاج تحديد,,YES,4531,02/08/2024,,,تفسير,,جديد التسجيلات,#جديد_التسجيلات | تفسير سورة الشرح | لفضيلة الشيخ حسن بن محمد منصور دغريري ٢٦ - ١ -١٤٤٦هـ 🖇 https://youtu.be/E-mrY_C4CRM?si=3N50mQgFEM7S_oGr ================= 🖇 https://t.me/daririhasan/4531
51,تنبيه اانام.m4a,غير مصنف / يحتاج تحديد,,YES,7341,18/05/2026,,35:19,تنبيه الأنام,,,🔸 تنبيه الانام على ما في كتاب سبل السلام من الفوائد والأحكام 🔸 للعلامة أحمد النجمي رحمه الله 🔹 الدرس الخامس عشر بجامع الورود بحي الورود بجدة - ٢٩ / ١١ / ١٤٤٧ مع فضيلة الشيخ حسن بن محمد منصور الدغريري حفظه الله ورعاه 🎙 مدة الصوتية: 35:19 دقيقة --- 📌 للاستماع عبر التلجرام: ╭─═┅┅┅┅┅┅┅═─╮ https://t.me/d
52,تنبيه الأنام .m4a,غير مصنف / يحتاج تحديد,,YES,6327,01/02/2026,,53:27,تنبيه الأنام,,,🔸 تنبيه الانام على ما في كتاب سبل السلام من الفوائد والأحكام كتاب الطهارة 🔸 للعلامة أحمد النجمي رحمه الله 🔹 الدرس السادس من كتاب الطهارة بجامع الورود بحي الورود بجدة - السبت ١٢ / ٨ /١٤٤٧ مع فضيلة الشيخ حسن بن محمد منصور الدغريري حفظه الله ورعاه 🎙 مدة الصوتية: 53:27 دقيقة --- 📌 للاستماع عبر التلجرام:
53,تنبيه_الانام_على_ما_في_كتاب_سبل_السلام٨١١_١٤٤٧.m4a,غير مصنف / يحتاج تحديد,,YES,6943,29/04/2026,,36:08,تنبيه الأنام,,,🔸 تنبيه الانام على ما في كتاب سبل السلام من الفوائد والأحكام كتاب الطهارة - باب قضاء الحاجة 🔸 للعلامة أحمد النجمي رحمه الله 🔹 الدرس الحادي عشر بجامع الورود بحي الورود بجدة - السبت ٨ / ١١ / ١٤٤٧ مع فضيلة الشيخ حسن بن محمد منصور الدغريري حفظه الله ورعاه 🎙 مدة الصوتية: 36:08 دقيقة --- 📌 للاستماع عبر ال
54,جديد_ثناء_شيخ_حسن_الدغريري_على_شيخ_احمد_الحكمي.m4a,غير مصنف / يحتاج تحديد,,NO,,,,,,,,
55,جمعية_الدعوة_والإرشاد_في_محافظة_صامطة_الدرس_الأول_شرح_أركان_الإيمان.m4a,غير مصنف / يحتاج تحديد,,YES,1564,29/05/2021,,,,,عن بعد,‏ 💡( ‎ #عن_بعد )💡 #دورة_الصم_وضعاف_السمع لعامها #21 🟢مترجم ‎ #بلغة_الإشارة 📚بعنوان: #أركان_الإيمان ✍ الدرس الأول 🔹فضيلة الشيخ/ حسن بن محمد منصور دغريري 📽️ عبر قناة جمعية الدعوة بصامطة على اليوتيوب : 🖇 https://youtu.be/uGwRrVme_Go 🕹 رابط التحميل الصوتي : 🖇 https://a.top4top.io/m_1974yqa7u1.m4a ══ا ¤❁
56,حسن (1) (1).m4a,غير مصنف / يحتاج تحديد,,NO,,,,,,,,
57,خروج الدابة في آخر الزمان.m4a,غير مصنف / يحتاج تحديد,,NO,,,,,,,,
58,خروج المسيح الدجال.m4a,غير مصنف / يحتاج تحديد,,NO,,,,,,,,
59,درر وفوائد - فضل الدعوة إلى الله.m4a,غير مصنف / يحتاج تحديد,,YES,1251,19/10/2020,,1:02,التعليق على كتاب التوحيد,,فوائد,📌 #فوائد 🏮 #مقاطع_صوتية • فضل الدعوة إلى الله • 🎧 للشيخ الفاضل: #حسن_بن_محمد_منصور_الدغريري حفظه الله ⏳مدة المقطع : ١:٠٢ د⏳ ===> مستفاد من الدرس السابع من التعليق على شرح كتاب التوحيد 📲 رابط التحميل والاستماع : 🖇 https://h.top4top.io/m_17531lcra1.m4a 🎥 رابط المشاهدة : 🖇 https://youtu.be/HFmIi_smDYA 
60,دغريري.mp3.m4a,غير مصنف / يحتاج تحديد,,NO,,,,,,3,,
61,ش_عبد_الهادي_ش_حسن_الدغريري_ش_خالد_نمازي.m4a,غير مصنف / يحتاج تحديد,,NO,,,,,,,,
62,شرح_كتاب_التوحيد_للشيخ_حسن_بن_محمد_الدغريري.m4a,غير مصنف / يحتاج تحديد,,YES,2008,09/02/2022,1443/07/07,,,,جديد الدروس,📌 #جديد_الدروس : 📕 الدرس الثاني والخمسون والأخير - ٥٢ - : #التعليق_على_شرح_كتاب_التوحيد للعلامة أحمد بن يحيى النجمي رحمه الله 🔹 باب ما جاء في ذمة الله وفي ذمة نبيه ﷺ 🔹 باب ما جاء في الإقسام على الله 🔹 باب لا يستشفع بالله على خلقه 🔹 باب ما جاء في حماية النبي ﷺ حمى التوحيد وسده طرق الشرك 🔹 باب ما جاء 
63,صفة الجنة من سورة الواقعة (معدلة)2.m4a,غير مصنف / يحتاج تحديد,,NO,,,,,,2,,
64,صفة الجنة من سورة الواقعة 1.m4a,غير مصنف / يحتاج تحديد,,NO,,,,,,1,,
65,صلاتي الفجر والعصر.m4a,غير مصنف / يحتاج تحديد,,NO,,,,,,,,
66,عمده_الاحكام الشيخ_حسن_الدغريري حفظه.m4a,غير مصنف / يحتاج تحديد,,NO,,,,,,,,
67,قراءة_مقال_وفاة_الشيخ_ناصر_قحل_رحمه_الله.m4a,غير مصنف / يحتاج تحديد,,YES,7226,12/05/2026,1447/11/24,11:36,,,,🔸 قراءة مقال وفاة الشيخ ناصر قحل رحمه الله عن بُعد - ١٤٤٧/١١/٢٤ مع فضيلة الشيخ حسن بن محمد منصور الدغريري حفظه الله ورعاه 🎙 مدة الصوتية : 11:36 دقيقة --- 📌 للاستماع عبر التلجرام: ╭─═┅┅┅┅┅┅┅═─╮ https://t.me/daririhasan/7226 ╰─═┅┅┅┅┅┅┅═─╯ 📌 رابط القناة على الواتساب: ╭─═┅┅┅┅┅┅┅═─╮ https://chat.whatsapp
68,قصة ابني آدم ٢٠ - ٦ - ١٤٣٨.m4a,غير مصنف / يحتاج تحديد,,YES,1347,20/12/2020,1438/06/20,18:36,خطبة الجمعة,,,📌خطبة الجمعة 🌀 قصة ابني آدم عليه السلام 🌀 🎧 للشيخ الفاضل / حسن بن محمد منصور الدغريري -حفظه الله ورعاه- ⏰ المدة : 18:36 د 🗓 الجمعة 20 جمادى الآخرة 1438هـ 🔗 رابط الصوتية: 🖇 https://l.top4top.io/m_1814sh5890.m4a 🎥 رابط اليوتيوب: 🖇 https://youtu.be/m917MIoOtzE ══ا ¤❁💎❁¤ ا══ 🔹 قناة الواتس آب : 🖇 https:/
69,قصة_الإسراء_والمعراج_٢٧_٧_١٤٣٩.m4a,غير مصنف / يحتاج تحديد,,YES,209,18/10/2018,,19:00,خطبة الجمعة,,,•┈┈┈•✿❁✿•┈┈┈• 📌خطبة الجمعة •/ قصة الإسراء والمعراج /• 🎙للشيخ الفاضل حسن بن محمد الدغريري -غفر الله له ولوالديه- ⏰ المدة: 19:00 د رابط الصوتية: https://a.top4top.io/m_2605e8pii1.m4a 📆 ٢٧ - ٧ - ١٤٣٩هـ ══ا ¤❁💎❁¤ ا══ 🔹 قناة الشيخ حسن الدغريري على الواتس https://chat.whatsapp.com/DUvpoPZFcBk22nVL1nIrVg ═
70,كلمة_توجيهية_بين_يدي_مجالس_قراءة_الملخص_شرح_كتاب_التوحيد.m4a,غير مصنف / يحتاج تحديد,,NO,,,,,التعليق على كتاب التوحيد,,,
71,كلمة_لابن_عقيل_عن_النجمي_رحمه_الله.m4a,غير مصنف / يحتاج تحديد,,NO,,,,,,,,
72,مفاسد المظاهرات.m4a,غير مصنف / يحتاج تحديد,,NO,,,,,,,,
73,موجز التوحيد.m4a,غير مصنف / يحتاج تحديد,,YES,7074,04/05/2026,1447/11/15,54:29,الموجز الممهد,,,‏‌‏‌🔸 الشرح الموجز الممهد لتوحيد الخالق الممجد الذي ألفه شيخ الإسلام محمد 🔸 للعلامة أحمد النجمي حفظه الله 🔹 الدرس السابع - بجامع الورود بحي الورورد بجدة - ١٤٤٧/١١/١٥ مع فضيلة الشيخ حسن بن محمد منصور الدغريري حفظه الله ورعاه 🎙 مدة الصوتية: 54:29 دقيقة --- 📌 للاستماع عبر التلجرام: ╭─═┅┅┅┅┅┅┅═─╮ https:
74,مورد العذب.m4a,غير مصنف / يحتاج تحديد,,YES,7075,04/05/2026,,1:00,المورد العذب الزلال,,,🔸 المورد العذب الزلال 🔸 للعلامة أحمد النجمي حفظه الله 🔹 الدرس الرابع عشر بجامع الورود بحي الورورد بجدة - السبت ١٥ /١١ /١٤٤٧ مع فضيلة الشيخ حسن بن محمد منصور الدغريري حفظه الله ورعاه 🎙 مدة الصوتية: 1:00:19 دقيقة --- 📌 للاستماع عبر التلجرام: ╭─═┅┅┅┅┅┅┅═─╮ https://t.me/daririhasan/7075 ╰─═┅┅┅┅┅┅┅═─╯ 📌 
75,نصيحة العلامة النجمي.m4a,غير مصنف / يحتاج تحديد,,YES,4018,22/01/2024,,,,,فوائد,#فوائد ♦| « دفاعا عن العلامة الألباني -رحمه الله- ①» 🖋 يقول العلامة أحمد بن يحيى النجمي -رحمه الله-: «فيا إخوة أحذركم من أن تقولوا في الألباني شيئا، لعلكم يعني تحتجون بما صححه، تحتجون بما حسنه، تحتجون بقوله في الأحاديث، ينبغي لكم ألا تلوموه ولا تلوموه ولا تقولوا إنه مرجئ!! فإن هذا كلام سيء ولا يجوز 
76,وقفات في الزكاة ( ١ ) .m4a,غير مصنف / يحتاج تحديد,,NO,,,,,,,,
