DB#,LessonNum,MsgID,GregDate,HijriDate,AudioFilename,Duration,Chapter
30,29,1582,09/06/2021,1442/10/27,AUD-20210609-WA0003.m4a,,ماجاء في الكهان ونحوهم
31,30,1596,20/06/2021,1442/11/05,AUD-20210619-WA0002.m4a,,ماجاء في النُّشرَة
32,31,1621,24/06/2021,1442/11/12,AUD-20210624-WA0002.m4a,,ماجاء في التطيُّر
33,32,1656,05/07/2021,1442/11/19,AUD-20210705-WA0002.m4a,,ماجاء في التنجيم
34,33,1663,07/07/2021,1442/11/26,AUD-20210707-WA0000.m4a,,ماجاء في الاستسقاء بالأنواء
35,34,1724,01/09/2021,,AUD-20210901-WA0003.m4a,,
36,35,1736,13/09/2021,,AUD-20210911-WA0042.m4a,,
37,40,1808,27/10/2021,1443/03/19,AUD-20211027-WA0022.m4a,,من الشرك إرادة الانسان بعمله الدنيا
38,,1823,02/11/2021,1443/03/27,AUD-20211102-WA0012.m4a,,من أطاع العلماء والأمراء في تحريم ما أحل الله أو تحليل ما حرم الله فقد اتخذهم أربابا من دون الله
39,42,1852,19/11/2021,1443/04/10,AUD-20211118-WA0007.m4a,,قول الله تعالى : ( ألم تر إلى الذين يزعمون أنهم آمنوا بما أنزل إليك ...) .
40,43,1866,24/11/2021,1443/04/18,AUD-20211124-WA0005.m4a,,من جحد شيئا من الأسماء والصفات
41,44,1883,08/12/2021,1443/05/03,AUD-20211207-WA0010.m4a,,قول الله تعالى: {يعرفون نعمة الله ثم ينكرونها}
42,45,1907,15/12/2021,1443/05/10,AUD-20211215-WA0000.m4a,,ماجاء فيمن لم يقنع بالحلف بالله
43,46,1928,29/12/2021,1443/05/24,AUD-20211229-WA0000.m4a,,التسمي بقاضي القضاة
44,47,1942,06/01/2022,1443/06/01,AUD-20220106-WA0001.m4a,,ما جاء في قول الله تعالى : ﴿ ولئن أذقناه رحمة منا من بعد ضراء مسته ... ﴾
45,48,1953,12/01/2022,1443/06/08,AUD-20220112-WA0000.m4a,,لا يقال السلام على الله
46,49,1963,20/01/2022,1443/06/15,AUD-20220119-WA0003.m4a,,لا يقول عبدي وأمتي
47,50,1975,27/01/2022,1443/06/22,AUD-20220126-WA0000.m4a,,ما جاء في «لو»
48,,1985,01/02/2022,1443/06/29,AUD-20220201-WA0004.m4a,,ما جاء في المصورين
49,52,2008,09/02/2022,1443/07/07,شرح_كتاب_التوحيد_للشيخ_حسن_بن_محمد_الدغريري.m4a,,ما جاء في ذمة الله وفي ذمة نبيه ﷺ
