DB#,MsgID,GregDate,HijriDate,AudioFilename,Duration,Title,Keyword
37,1497,13/04/2021,1442/09/01,AUD-20210412-WA0016.m4a,20:12,الحرص على تفسير القرآن في شهر رمضان ١٤٤٢,جديد_الكلمات
38,1507,20/04/2021,1442/09/07,القناة_الرسمية_للشيخ_حسن_الدغريري_شرح_حديث_كل_عمل_ابن_آدم_له_إلا.m4a,7:59,شرح حديث {كل عمل ابن آدم له إلا الصوم فإنه لي وأنا أجزي له} ١٤٤٢,جديد_الكلمات
39,1512,26/04/2021,1442/08/30,AUD-20210426-WA0003.m4a,13:49,الحرص على الأعمال الصالحة في رمضان ١٤٤٢,جديد_الكلمات
40,1514,26/04/2021,1442/09/14,مفهوم_العبادة_في_رمضان_١٤_٩_١٤٤٢.mp3,18:59,مفهوم العبادة في رمضان ١٤٤٢,جديد_الكلمات
41,1519,01/05/2021,1442/09/18,فضل_العشر_الأواخر_من_رمضان_١٨_٩_١٤٤٢.mp3,12:42,فضل العشر الأواخر من رمضان ١٤٤٢هـ,جديد_الكلمات
42,1521,02/05/2021,1442/09/19,بعض أحكام الاعتكاف ٢٠ - ٩ - ١٤٤٢.mp3,16:30,بعض أحكام الاعتكاف ١٤٤٢,جديد_الكلمات
43,1523,05/05/2021,1442/09/22,بعض أحكام العيد ٢٢ - ٩ - ١٤٤٢.mp3,15:32,بعض أحكام العيد ١٤٤٢,جديد_الكلمات
44,1550,24/05/2021,1442/10/11,أهمية_الصلاة_في_الإسلام_١٢_١٠_١٤٤٢.mp3,10:54,أهمية الصلاة في الإسلام,جديد_الكلمات
45,1566,29/05/2021,1442/10/17,مركز_الدعوة_والإرشاد_بمحافظة_الطوال_كلمة_بعنوان_حماية_العمل_الخيري.m4a,06:46,حماية العمل الخيري من استغلال الجماعات الحزبية والإرهابية,جديد_الكلمات
46,1570,02/06/2021,1442/10/21,AUD-20210602-WA0000.m4a,06:14,أهمية مواقع التواصل الاجتماعي والحث على استغلالها في الخير والتحذير من ضد ذلك,جديد_الكلمات
47,1591,13/06/2021,1442/10/02,مركز_الدعوة_والإرشاد_بمحافظة_الطوال_كلمة_بعنوان_التسمية_الحسنة_للأبناء.m4a,17:22,التسمية الحسنة للأبناء,جديد_الكلمات
48,1600,20/06/2021,1442/11/04,AUD-20210620-WA0001.m4a,12:20,نصرة النبي صلى الله عليه وسلم,جديد_الكلمات
49,1617,24/06/2021,1442/11/10,AUD-20210624-WA0000.m4a,32:58,عقيدة أهل السنة والجماعة,جديد_الكلمات
50,1619,24/06/2021,1442/11/14,محاضرة لأهل سرت حرسها الله.mp3,37:26,فضل العلم الشرعي وبعض آدابه,جديد_الكلمات
51,1639,30/06/2021,1442/11/20,كلمة في التحذير من لعبة بوبجي.mp3,04:27,التحذير من لعبة بوبجي التي تعلم أبناء المسلمين الأعمال الإرهابية !!,جديد_الكلمات
52,1643,01/07/2021,1442/11/21,فضل صحبة أهل الخير ٢٠ - ١١ - ١٤٤٢.mp3,12:50,فضل صحبة أهل الخير,جديد_الكلمات
53,1652,02/07/2021,1442/11/22,دفاعا_عن_الإمام_المحدث_الألباني_٢٢_١١_١٤٤٢.mp3,13:55,دفاعا عن الإمام المحدث الألباني وثناء كبار العلماء عليه رحمه الله,جديد_الكلمات
54,1670,10/07/2021,1442/11/30,فضل_العشر_الأولى_من_ذي_الحجة_٢٩_١١_١٤٤٢.mp3,12:37,العشر الأولى من ذي الحجة,جديد_الكلمات
55,1673,11/07/2021,1442/12/01,AUD-20210711-WA0002.m4a,24:28,الدعوة السلفية تدعو إلى الوسطية,جديد_الكلمات
56,1680,19/07/2021,1442/12/09,من أحكام العيد ٩ - ١٢ - ١٤٤٢.mp3,25:05,من أحكام العيد,جديد_الكلمات
57,1697,16/08/2021,1443/01/08,AUD-20210815-WA0010.mp3,14:18,فضل صيام عاشوراء,جديد_الكلمات
58,1699,16/08/2021,1443/01/08,كلمة_حول_الحرائق_التي_وقعت_في_الجزائر.mp3,5:49,كلمة حول الحرائق التي وقعت في بعض مناطق الجزائر,جديد_الكلمات
59,1707,23/08/2021,1443/01/15,AUD-20210823-WA0010.m4a,8:23,تعظيم قدر الصلاة,جديد_الكلمات
60,1814,31/10/2021,1443/03/25,AUD-20211031-WA0000.m4a,,المصائب وتحملها,جديد_الكلمات
61,1819,01/11/2021,1443/03/26,الحرص_على_الوفاق_وترك_الخلاف_والشقاق.mp3,,الحرص على الوفاق وترك الخلاف والشقاق,جديد_الكلمات
62,1839,12/11/2021,1443/04/07,AUD-20211110-WA0029.opus,,كلمة مختصرة بخصوص الهجرة,جديد_الكلمات
63,1843,14/11/2021,1443/04/09,AUD-20211114-WA0002.m4a,,رسائل للطلاب يوم السبت ٨ / ٤ / ١٤٤٣,جديد_الكلمات
64,1849,16/11/2021,1443/04/11,AUD-20211115-WA0023.opus,,الصبر والاحتساب عند المرض يوم الاثنين ٩ / ٤ / ١٤٤٣,جديد_الكلمات
65,1903,13/12/2021,1443/05/09,AUD-20211213-WA0004.m4a,12:32,صلاة الاستسقاء فضلها وأحكامها,جديد_الكلمات
66,1926,28/12/2021,1443/05/23,AUD-20211228-WA0023.m4a,21:27,العلم فضله، ومكانة العلماء,جديد_الكلمات
67,1930,29/12/2021,1443/05/25,كلمة_حول_حكم_الاحتفال_برأس_السنة_الميلادية.mp3,5:22,حول حكم الاحتفال برأس السنة الميلادية الكريسمس,جديد_الكلمات
68,1936,03/01/2022,1443/05/26,file_2@03-01-2022_12-16-05.mpga,,التحذير من جماعة التبليغ,جديد_الكلمات
69,1938,03/01/2022,1443/05/25,AUD-20220103-WA0012.m4a,31:57,لزوم الجماعة,جديد_الكلمات
70,1940,06/01/2022,1443/06/02,AUD-20220105-WA0011.m4a,9:07,بعض الوصايا المهمة لإخواننا في فرنسا,جديد_الكلمات
71,1946,06/01/2022,1443/06/03,كلمة_في_وفاة_العلامة_صالح_اللحيدان_وذكر_بعض_حقوق_العلماء.mp3,7:08,كلمة في وفاة العلامة صالح اللحيدان وذكر بعض حقوق العلماء,جديد_الكلمات
72,1994,06/02/2022,1443/06/24,صوت ٠٥٢.m4a,59:09,أسباب الانحرافات الفكرية,جديد_الكلمات
73,1996,07/02/2022,1443/07/06,AUD-20220206-WA0002.m4a,25:36,البدع في شهر رجب,جديد_الكلمات
74,1999,07/02/2022,1443/07/06,AUD-20220207-WA0003.mp3,15:59,فوائد من قصة الطفل ريان المغربي,جديد_الكلمات
75,2027,19/02/2022,1443/07/17,AUD-20220218-WA0007.m4a,7:32,تعليق على تغريدة,جديد_الكلمات
76,2035,20/02/2022,1443/07/18,AUD-20220219-WA0004.mp3,8:24,الحث على طلب العلم ولزوم غرز العلماء واحترامهم,جديد_الكلمات
77,2040,22/02/2022,1440/10/18,اسباب_الثبات_عل_AudioConverter_AudioTrimmer_com.m4a,2:34,أسباب الثبات على الاستقامة - ليلة الجمعة ١٨ شوال ١٤٤٠هـ),كلمة بعنوان
78,2052,02/03/2022,1443/07/29,AUD-20220302-WA0001.m4a,15:58,الألعاب الاكترونية والرسومات المتحركة وخطورة التعامل معها,جديد_الكلمات
79,2056,05/03/2022,1443/08/01,الشيخ حسن الدغريري.mp3,8:55,بيعة ولي الأمر,جديد_الكلمات
80,2058,10/03/2022,1443/08/06,AUD-20220310-WA0002.m4a,19:13,ضوابط حجاب المرأة المسلمة,جديد_الكلمات
81,2088,21/03/2022,1443/08/11,كيف نستقبل شهر رمضان المبارك ؟.mp3,15:59,كيف نستقبل شهر رمضان المبارك,جديد_الكلمات
82,2120,08/04/2022,1443/09/05,صلاة_التراويح_والقيام_فضلها_وأحكامها.m4a,19:41,صلاة التراويح والقيام فضلها وأحكامها,جديد_الكلمات
83,2157,19/04/2022,1443/09/17,فضل_ليالي_العشر_الأواخر_والحث_على_الاجتهاد_فيها.mp3,9:37,فضل ليالي العشر الأواخر، والحث على الاجتهاد فيها,جديد_الكلمات
84,2168,23/04/2022,1443/09/22,AUD-20220423-WA0009.m4a,26:42,حال المرأة المسلمة في رمضان,جديد_الكلمات
85,2196,17/05/2022,1443/10/16,AUD-20220517-WA0004.m4a,19:08,شبهات وردود حول دعوة,جديد_الكلمات
86,2209,21/05/2022,1443/10/20,فضل الصدقة وخطر التسول.m4a,19:03,فضل الصدقة وخطر التسول,جديد_الكلمات
87,2229,04/06/2022,1443/11/04,2345rafop1.mp3,9:46,آداب مهمة لطالب العلم,جديد_الكلمات
88,2276,01/07/2022,1443/12/01,AUD-20220701-WA0005.mp3,9:42,فضل العمل الصالح في أيام العشر,جديد_الكلمات
89,2313,26/07/2022,1443/12/27,AUD-20220726-WA0004.m4a,,فضل العلم والعمل الصالح والاجتماع على الحق ٢٢ / ١٢ / ١٤٤٣,جديد_الكلمات
90,2316,26/07/2022,1443/12/27,AUD-20220726-WA0006.m4a,,أهمية بذل الأسباب بعد التوكل على الله,جديد_الكلمات
91,2339,19/08/2022,1444/01/19,AUD-20220818-WA0000.m4a,24:59,ذم التعصب والتقديس للرجال,جديد_الكلمات
92,2369,05/09/2022,1444/02/09,منزلة السنة النبوية في الإسلام.mp3,07:39,السنة النبوية ومنزلتها في الإسلام,جديد_الكلمات
93,2413,30/09/2022,1444/03/04,record.ogg,,التحذير من بدعة المولد,جديد_الكلمات
94,2558,08/11/2022,1444/04/14,AUD-20221107-WA0009.m4a,18:13,أهمية العلم الشرعي زمن الفتن,جديد_الكلمات
95,2605,18/11/2022,1444/04/24,AUD-20221117-WA0009.m4a,27:11,أهمية وأسباب صلاح الأبناء والذرية,جديد_الكلمات
96,2616,23/11/2022,1444/04/29,AUD-20221122-WA0007.m4a,9:48,التوبة إلى الله -عزوجل,جديد_الكلمات
97,2621,23/11/2022,1444/04/29,AUD-20221123-WA0005.m4a,7:38,كلمة في وفاة العلامة عبيد بن عبد الله الجابري رحمه الله,جديد_الكلمات
98,2637,29/11/2022,1444/05/05,الوصية بتقوى الله ٥ - ٥ - ١٤٤٤هـ.mp3,,الوصية بتقوى الله تعالى,جديد_الكلمات
99,2654,04/12/2022,1444/05/09,AUD-20221203-WA0029.m4a,39:19,الأمر بالاجتماع والنهي عن التفرق والاختلاف,جديد_الكلمات
100,2766,01/01/2023,1444/06/08,AUD-20230101-WA0010.m4a,21:55,فضل العلم والتمسك بالسنة,جديد_الكلمات
101,2768,01/01/2023,1444/06/08,AUD-20230101-WA0015.m4a,18:51,أهمية التمسك بالسنة وقت الفتن,جديد_الكلمات
102,2817,08/01/2023,1444/06/15,AUD-20230108-WA0003.m4a,12:03,سورة العصر,جديد_الكلمات
103,2848,11/01/2023,1444/06/17,AUD-20230111-WA0004.m4a,20:29,الأمر بالمعروف والنهي عن المنكر,جديد_الكلمات
104,2851,11/01/2023,1444/06/17,نصيحة_وتوجيه_وثناء_على_الشيخ_عبد_المجيد.mp3,,نصيحة وتوجيه حول ما يجري في الساحة,جديد_الكلمات
105,2922,28/01/2023,1444/07/05,AUD-20230127-WA0042.mp3,10:44,أهمية ذكر الله,جديد_الكلمات
106,3034,23/02/2023,1444/08/03,AUD-20230223-WA0016.m4a,22:13,شعبان فضله وبعض أحكامه,جديد_الكلمات
107,3116,21/03/2023,1444/08/28,AUD-20230320-WA0008.m4a,21:07,استقبال رمضان وبعض الأحكام المتعلقة به,جديد_الكلمات
108,3130,27/03/2023,1444/09/05,AUD-20230327-WA0001.mp3,10:55,موعظة عن بعض أعمال شهر رمضان,جديد_الكلمات
109,3141,29/03/2023,1444/09/07,AUD-20220424-WA0025.m4a,,حال المرأة المسلمة في رمضان,جديد_الكلمات
110,3441,23/06/2023,1444/12/05,AUD-20230623-WA0001-[AudioTrimmer.com] (1).m4a,24:16,بدعة الإنكار العلني على ولاة الأمر,جديد_الكلمات
111,3460,23/07/2023,1445/01/04,الطريقة_المناسبة_ووالوسائل_المعينة_على_الحفظ؟.mp3,8:49,الطَّرِيِقَةُ المُنَاسِبَةُ وَالوَسَائِلُ المُعِينَةُ عَلَى الحِفْظِ,جديد_الكلمات
112,3462,25/07/2023,1445/01/06,استغلال_الإجازة_الصيفية_الشيخ_حسن_الدغريري.mp3,11:28,اِسْتِغْلاَلُ أَوْقَاتِ الإِجَازَةِ فِي الأَعْمَالِ الصَّالِحَةِ,جديد_الكلمات
113,3472,28/07/2023,1445/01/09,كلمة_بعنوان_قصة_موسى_مع_فرعون_دروس_وعبر_يلقيها_الداعية_bmMfleXFKkw.m4a,13:14,قِصَّةُ مُوسَى مَعَ فِرْعَوْنَ دُرُوسٌ وَعِبَرٌ,جديد_الكلمات
114,3549,16/08/2023,1445/01/29,من آداب طلب العلم.mp3,10:33,مِنْ آَدَابِ طَلَبِ العِلْمِ,جديد_الكلمات
115,3578,23/08/2023,1445/02/06,AUD-20230822-WA0004.m4a,19:54,مَكَانَةُ مُعَاوِيَةُ ابْنُ أَبِيْ سُفْيَانَ -رَضِيَ اللَّهُ عَنْهُ- فِي الإِسْلاَمِ,جديد_الكلمات
116,3651,08/09/2023,1445/02/22,AUD-20230908-WA0012.mp3,,{وبالوالدين إحسانا},محاضرة بعنوان
117,3662,11/09/2023,1445/02/26,AUD-20230911-WA0002.mp3,5:58,الأخذ بأسباب السلامة من الرياح الشديدة وغيرها,جديد_الكلمات
118,3778,15/10/2023,1445/02/29,AUD-20231014-WA0007.m4a,11:00,فضل العلم والعلماء في كتاب الله وسنة رسوله ﷺ,جديد_الكلمات
119,3846,01/12/2023,1445/05/17,موقف_أهل_السنة_من_أهل_البدع_والحزبيات_والجماعات_المختلفة_كلمة_للشيخ.m4a,33:51,موقف أهل السنة من أهل البدع والحزبيات والجماعات المختلفة,جديد_الكلمات
120,3868,09/12/2023,1445/05/25,معرفة_الأحكام_الشرعية_في_الطلاق_محاضرة_للشيخ_حسن_بن_محمد_منصور_الدغريري.mp3,27:23,معرفة الأحكام الشرعية في الطلاق,محاضرة
121,3911,25/12/2023,1445/06/12,شرح حديث سنوات خداعات.m4a,18:59,شرح حديث سنوات خداعات,جديد_الكلمات
122,3980,14/01/2024,1445/07/02,AUD-20240113-WA0003.m4a,46:17,التَمَسُّكُ بِالسُنَّةِ وَالحَذَرُ مِنَ البِدْعَةِ,جديد_الكلمات
123,4007,21/01/2024,1445/07/09,الإهتمام_بالسنة_والحرص_عليها_الشيخ_حسن_بن_محمد_المنصور_NJeKgpg5DlA.m4a,,الإهتمام بالسنة والحرص عليه,كلمة بعنوان
124,4133,09/02/2024,1445/07/27,AUD-20240208-WA0003.m4a,,تفسير قول الله تعالى ﴿وَلَا تَقْرَبُوا الزِّنَا ۖ إِنَّهُ كَانَ فَاحِشَةً وَسَاءَ سَبِيلًا﴾,محاضرة بعنوان
125,4291,09/04/2024,1445/09/30,كلمة_دعوية_بعنوان_أحكام_زكاة_الفطر_لفضيلة_الشيخ_حسن_محم_wycaSM3ph1g.m4a,,أحكام زكاة الفطر,كلمة دعوية بعنوان
126,4312,22/04/2024,1445/10/13,AUDIO-2024-04-22-08-12-43.mp3,,منهجية تعليم الأولاد في المدارس وتربيتهم تربية سلفية,جديد_الكلمات
127,4319,24/04/2024,1445/10/15,PTT-20240422-WA0007.mp3,,ما نصيحتكم للدعاة السلفيين في أندونيسيا وجزاكم الله خيرا,جديد_الكلمات
128,4348,30/04/2024,1445/10/21,PTT-20240428-WA0004.mp3,,أريد نصيحة حول طلب العلم وكيفية طلبه وماهي الكتب التي بدأ بها,جديد_الكلمات
129,4513,18/07/2024,1446/01/12,AUD-20240718-WA0001.m4a,,استغلال الأوقات في طلب العلم الشرعي,جديد_الكلمات
130,4514,18/07/2024,1446/01/12,الشيخ حسن دغريري.mp3,,معالم منهج اهل السنة والجماعة,محاضرة بعنوان
131,4548,08/08/2024,1446/02/03,AUD-20240807-WA0009.m4a,,الغلو في العلماء,جديد_الكلمات
132,4564,17/08/2024,1446/02/13,AUD-20240817-WA0000-[AudioTrimmer.com].m4a,,أحكام وآداب الرقية الشرعية,محاضرة بعنوان
133,4589,23/08/2024,1446/02/19,AUD-20240822-WA0002.m4a,,الحياة الأسرية بين الواقع والمأمول شرعا,جديد_الكلمات
134,4647,12/09/2024,1446/03/09,AUD-20240904-WA0010.m4a,,تعلم العقيدة واجب شرعي,جديد_الكلمات
135,4687,27/09/2024,1446/03/24,AUD-20240927-WA0000.m4a,,فضل الصحابة -رضي الله عنهم,جديد_الكلمات
136,4725,11/10/2024,1446/04/08,PTT-20241011-WA0008.mp3,,وصايا وتوجيهات في طلب العلم,جديد_الكلمات
137,4927,05/12/2024,1446/06/04,فوائد_من_نصائح_وتوجيهات_للمتصدرين_للدعوة_①.mp3,,لا يوصف الرجل بأنه سُنِّي وسلفي حتى تجتمع فيه خصال السنَّة والسلفية,محاضرة بعنوان
138,5022,28/12/2024,1446/06/27,AUD-20241227-WA0001.m4a,,آداب مهمة لطالب العلم,جديد_الكلمات
139,5093,19/01/2025,1446/07/19,AUD-20250118-WA0026.m4a,,منهج المسلم في التعامل مع الأحزاب والجماعات,محاضرة بعنوان
140,5186,23/02/2025,1446/08/24,AUD-20250223-WA0000.m4a,,كلمة بعنوان تنبيه الخلان إلى أعمال ووظائف شهر رمضان,جديد_الكلمات
141,5256,22/03/2025,1446/09/22,دقائق_رمضانية_1446هـ_الشيخ_مجموعة_مشائخ_وعلماء_الدرس_9_رمضان_شهر.mp3,,دقائق رمضانية 1446هـ رمضان شهر الصبر,جديد_الكلمات
142,5404,15/05/2025,1446/11/17,AUD-20250515-WA0000.m4a,,توجيهات سلفية ونصائح أثرية,جديد_الكلمات
143,5409,17/05/2025,1446/11/18,AUD-20250516-WA0001.m4a,,معاملة أهل السنة للمخالفين,جديد_الكلمات
144,5414,18/05/2025,1446/11/20,الشيخ_حسن_الدغريري_بيان_حال_المميعة_المخذلة_.mp3,,التحذير من منهج المخذلة والمميعة وبيان شيء من أوصافهم!,كلمة بعنوان
145,5422,23/05/2025,1446/11/25,AUD-20250523-WA0005.m4a,,الأيام العشر الأولى من ذي الحجة,جديد_الكلمات
146,5494,22/06/2025,1446/12/26,وصايا مهمة لطالب العلم.mp3,,وصايا مهمة لطالب العلم,جديد_الكلمات
147,5608,19/07/2025,1447/01/24,AUD-20250718-WA0008.m4a,,السعادة في طاعة الله,جديد_الكلمات
148,5641,13/08/2025,1447/02/16,AUD-20250811-WA0000.m4a,,وصايا لأهل مدينة باريس بفرنسا,جديد_الكلمات
149,5652,30/08/2025,1447/03/07,الشيخ_حسن_الدغريري_شرح_حديث_هذا_سبيل_الله.mp3,,شرح قول النَّبِي ﷺ (هذا سبيل الله),جديد_الكلمات
150,5693,03/10/2025,2025/10/03,record (1).ogg,,خطر المظاهرات في الإسلام,محاضرة
151,6161,03/01/2026,1447/07/14,AUD-20260103-WA0003.opus,,من أساليب الإخوان المسلمين في استغلال المرأة,جديد_الكلمات
152,6209,18/01/2026,1440/04/06,فضل_العلم_ومنزلة_أهله_كلمة_للشيخ_حسن_محمد_دغريري_6_4_1440.mp3,,فضل العلم ومنزلة أهله,محاضرة بعنوان
153,6430,13/02/2026,1447/08/25,AUDIO-2026-02-13-08-23-50.m4a,15:50,على عتبة رمضان عن بُعد لأهل اليمن,جديد_الكلمات
154,6431,13/02/2026,1447/08/25,AUDIO-2026-02-13-08-44-09.m4a,41:13,من أحكام الصيام,محاضرة بعنوان
155,6462,22/02/2026,1447/09/05,AUDIO-2026-02-22-17-39-12.m4a,45:34,التوحيد وأثره في تحقيق الأمن,محاضرة بعنوان
156,6508,10/03/2026,1447/09/21,AUDIO-2026-03-09-17-38-41.m4a,35:24,فضل العشر الأواخر من رمضان,محاضرة بعنوان
157,6534,19/03/2026,1447/09/30,4_5812221835420414264.m4a,,أحكام زكاة الفطر,كلمة دعوية بعنوان
158,7476,26/05/2026,1447/11/06,AUDIO-2026-05-24-07-03-53.m4a,47:44,مكانة العلماء والرجوع إليهم,محاضرة
